base	variant	order	char
h		1	ሀ
h		2	ሁ
h		3	ሂ
h		4	ሃ
h		5	ሄ
h		6	ህ
h		7	ሆ
h	1	1	ሐ
h	1	2	ሑ
h	1	3	ሒ
h	1	4	ሓ
h	1	5	ሔ
h	1	6	ሕ
h	1	7	ሖ
h	2	1	ኀ
h	2	2	ኁ
h	2	3	ኂ
h	2	4	ኃ
h	2	5	ኄ
h	2	6	ኅ
h	2	7	ኆ

l		1	ለ
l		2	ሉ
l		3	ሊ
l		4	ላ
l		5	ሌ
l		6	ል
l		7	ሎ

m		1	መ
m		2	ሙ
m		3	ሚ
m		4	ማ
m		5	ሜ
m		6	ም
m		7	ሞ

r		1	ረ
r		2	ሩ
r		3	ሪ
r		4	ራ
r		5	ሬ
r		6	ር
r		7	ሮ

s		1	ሰ
s		2	ሱ
s		3	ሲ
s		4	ሳ
s		5	ሴ
s		6	ስ
s		7	ሶ
s	1	1	ሠ
s	1	2	ሡ
s	1	3	ሢ
s	1	4	ሣ
s	1	5	ሤ
s	1	6	ሥ
s	1	7	ሦ

sh		1	ሸ
sh		2	ሹ
sh		3	ሺ
sh		4	ሻ
sh		5	ሼ
sh		6	ሽ
sh		7	ሾ

q		1	ቀ
q		2	ቁ
q		3	ቂ
q		4	ቃ
q		5	ቄ
q		6	ቅ
q		7	ቆ

b		1	በ
b		2	ቡ
b		3	ቢ
b		4	ባ
b		5	ቤ
b		6	ብ
b		7	ቦ

t		1	ተ
t		2	ቱ
t		3	ቲ
t		4	ታ
t		5	ቴ
t		6	ት
t		7	ቶ

ch		1	ቸ
ch		2	ቹ
ch		3	ቺ
ch		4	ቻ
ch		5	ቼ
ch		6	ች
ch		7	ቾ

n		1	ነ
n		2	ኑ
n		3	ኒ
n		4	ና
n		5	ኔ
n		6	ን
n		7	ኖ

ny		1	ኘ
ny		2	ኙ
ny		3	ኚ
ny		4	ኛ
ny		5	ኜ
ny		6	ኝ
ny		7	ኞ

k		1	ከ
k		2	ኩ
k		3	ኪ
k		4	ካ
k		5	ኬ
k		6	ክ
k		7	ኮ

kh		1	ኸ
kh		2	ኹ
kh		3	ኺ
kh		4	ኻ
kh		5	ኼ
kh		6	ኽ
kh		7	ኾ

w		1	ወ
w		2	ዉ
w		3	ዊ
w		4	ዋ
w		5	ዌ
w		6	ው
w		7	ዎ

z		1	ዘ
z		2	ዙ
z		3	ዚ
z		4	ዛ
z		5	ዜ
z		6	ዝ
z		7	ዞ

zh		1	ዠ
zh		2	ዡ
zh		3	ዢ
zh		4	ዣ
zh		5	ዤ
zh		6	ዥ
zh		7	ዦ

y		1	የ
y		2	ዩ
y		3	ዪ
y		4	ያ
y		5	ዬ
y		6	ይ
y		7	ዮ

d		1	ደ
d		2	ዱ
d		3	ዲ
d		4	ዳ
d		5	ዴ
d		6	ድ
d		7	ዶ

j		1	ጀ
j		2	ጁ
j		3	ጂ
j		4	ጃ
j		5	ጄ
j		6	ጅ
j		7	ጆ

g		1	ገ
g		2	ጉ
g		3	ጊ
g		4	ጋ
g		5	ጌ
g		6	ግ
g		7	ጎ

t'		1	ጠ
t'		2	ጡ
t'		3	ጢ
t'		4	ጣ
t'		5	ጤ
t'		6	ጥ
t'		7	ጦ

ch'		1	ጨ
ch'		2	ጩ
ch'		3	ጪ
ch'		4	ጫ
ch'		5	ጬ
ch'		6	ጭ
ch'		7	ጮ

p'		1	ጰ
p'		2	ጱ
p'		3	ጲ
p'		4	ጳ
p'		5	ጴ
p'		6	ጵ
p'		7	ጶ

ts'		1	ጸ
ts'		2	ጹ
ts'		3	ጺ
ts'		4	ጻ
ts'		5	ጼ
ts'		6	ጽ
ts'		7	ጾ
ts'	1	1	ፀ
ts'	1	2	ፁ
ts'	1	3	ፂ
ts'	1	4	ፃ
ts'	1	5	ፄ
ts'	1	6	ፅ
ts'	1	7	ፆ

f		1	ፈ
f		2	ፉ
f		3	ፊ
f		4	ፋ
f		5	ፌ
f		6	ፍ
f		7	ፎ

p		1	ፐ
p		2	ፑ
p		3	ፒ
p		4	ፓ
p		5	ፔ
p		6	ፕ
p		7	ፖ

v		1	ቨ
v		2	ቩ
v		3	ቪ
v		4	ቫ
v		5	ቬ
v		6	ቭ
v		7	ቮ

a		1	አ
a		2	ኡ
a		3	ኢ
a		4	ኣ
a		5	ኤ
a		6	እ
a		7	ኦ
a	1	1	ዐ
a	1	2	ዑ
a	1	3	ዒ
a	1	4	ዓ
a	1	5	ዔ
a	1	6	ዕ
a	1	7	ዖ

